"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1773147145102586186","Thu Mar 28 00:36:37 +0000 2024","0","Alhamdulilah dapat semua ni sejak pindah tempat kerja baru syukur sangat-ii","1773147145102586186","","","in","earth","0","0","0","https://x.com/lauvnara/status/1773147145102586186","1724033632669761536","lauvnara"
"1773146927619572212","Thu Mar 28 00:35:45 +0000 2024","0","Pgn pindah jurusaaan sama pindah kampus jugaa belajar informatika pas daring tu ya allah kaga ada yg faham nyantol cuma sehari dua hari (wajar sih org ngambil kelas karyawan) tp klo dlu ambil jurusan perawat keknya sekarang baru setaunan kerja..","1773146927619572212","","","in","01","0","0","0","https://x.com/dimplebangchann/status/1773146927619572212","3189519384","dimplebangchann"
"1773010233880658138","Thu Mar 28 00:32:37 +0000 2024","0","@worksfess Aku juga dulu bertanya2 kayak gini soalnya abis kerja aku capek. Later aku pindah kerja dan sadar kalau tipe kerjaan ngaruh. Biasanya kebanyakan yg bisa gym abis kerja yg tipe kerjaanya ga ada target kalau yg sering kembur dan dikit2 deadline mah jangan ditanya","1773146138704494848","","worksfess","in","Jakarta Selatan, DKI Jakarta","0","0","0","https://x.com/paramooor/status/1773146138704494848","1160989709423636480","paramooor"
"1773145197347586516","Thu Mar 28 00:28:53 +0000 2024","3","Piaraan siapa sih yg hari ini demo di kawasan monas bikin susah orang2 yang mau pergi kerja atau ada urusan keluar rumah. Di halte busway petojo udah penuh sesak penumpang. Mmg bener ini ibu kota negara harus segera pindah ke kalimantan.","1773145197347586516","","","in","beyond the silver rainbow","0","0","0","https://x.com/Rang_Hoki/status/1773145197347586516","125294713","Rang_Hoki"
"1772925301229826442","Thu Mar 28 00:28:37 +0000 2024","0","@BBHLightsINA @B_hundred_Hyun @BAEKHYUN_INB100 Udah dapet thr dan gaji apa waktu nya gua pindah kerja di INB? ","1773145131878694976","","BBHLightsINA","in","","0","0","0","https://x.com/bucinjo/status/1773145131878694976","1328991093233356800","bucinjo"
"1773143610831122516","Thu Mar 28 00:22:34 +0000 2024","0","Manifesting pengen pindah kerja Dan dapet tempat kerja yg lebih baik dari segi penghasilan aturan rekan fasilitas Dan memanusiakan karyawannya","1773143610831122516","","","in","","0","0","0","https://x.com/shakeitup22233/status/1773143610831122516","1309080196738408450","shakeitup22233"
"1773142996436898157","Thu Mar 28 00:20:08 +0000 2024","0","Lepas dpt kerja near KL aku terpaksa tinggalkan Setia Alam wlpn dah mula jatuh hati dgn kwsn tu. Sbb driving kat NKVE pagi2 buta dgn jem melekatnya sangat2 tak berbaloi utk kesihatan mental. Plus toll cost gila mahal tiap hari so mmg terpaksa pindah rumah bila pindah kerja.","1773142996436898157","","","in","","0","1","0","https://x.com/muhamadahjiz/status/1773142996436898157","377181202","muhamadahjiz"
"1773140593230635338","Thu Mar 28 00:10:35 +0000 2024","0","Mau kerja yg jauh pindah kota bawa rayyan lupain semua yg di jkt","1773140593230635338","","","in","","0","0","0","https://x.com/piggypiggyhott/status/1773140593230635338","1143721225790734336","piggypiggyhott"
"1773138736563245464","Thu Mar 28 00:03:12 +0000 2024","19","Temen kerja pada bilang Awas menyesal pindah dari sini Mungkin menyesal tapi gak dulu deh kerjaan baru gue cuma 15 menit dari fx Sudirman","1773138736563245464","","","in","","0","4","0","https://x.com/ri__riyanti/status/1773138736563245464","1550623534019293184","ri__riyanti"
"1773136548239671668","Wed Mar 27 23:54:31 +0000 2024","0","jadinya pindah ke mandiri. soalnya ada temen gue yg kerja disana jd gue super gampang kalo mau ngurus urusan bank ","1773136548239671668","","","in","Jakarta Capital Region","0","0","0","https://x.com/onidgir1/status/1773136548239671668","866324026066468864","onidgir1"
"1772846483316117986","Wed Mar 27 23:53:54 +0000 2024","0","@DedynurPalakka Udah kerja tapi duwit nya di malingin pajak eh terus jalan masih aja bolong banjir masih aja jadi pindah pindah pindah aja kewarganegaraan","1773136395629924593","","DedynurPalakka","in","","0","0","0","https://x.com/Dendi90196916/status/1773136395629924593","1191752011785494529","Dendi90196916"
"1773132591480131596","Wed Mar 27 23:46:11 +0000 2024","0","@Ha75118795 mau pindah kerja jiipe","1773134452778029273","","Ha75118795","in","Kota Surabaya, Jawa Timur","0","1","0","https://x.com/sekstynine/status/1773134452778029273","1537391513856262145","sekstynine"
"1772975476568412460","Wed Mar 27 23:23:21 +0000 2024","1","@helmyyelmo @nanakrdn pernah. end up diri sendiri tersakiti. payah nak betul kan keadaan. nasib la sis kwin pastu pindah kerja. dia punya toxic tu haih!","1773128706900349206","","helmyyelmo","in","","0","1","0","https://x.com/DearMiyra/status/1773128706900349206","712386606","DearMiyra"
"1773124250964000830","Wed Mar 27 23:09:35 +0000 2024","0","@SeputarTetangga Aku juga pindah rumah ke gang dan gaada pager juga nder.. Rumah aku sering kosong kemarin-kemarin krn aku abis lahiran sempet lama dirumah mertua dan aku sama suami kerja berangkat subuh pulang maghrib... Setelah aku resign aku baru tau jg selama ini banyak yg suka semena-mena","1773125242250031489","","SeputarTetangga","in","","0","1","0","https://x.com/inseupirits/status/1773125242250031489","4175287034","inseupirits"
